Policy,Protocol,MessageSizeKB,TransferTimeSeconds,ThroughputKbps
RR,tcp,1,6.6083e-05,121060
RR,tcp,1,4.6916e-05,170518
RR,tcp,1,6.3209e-05,126564
RR,tcp,1,5.8959e-05,135688
RR,tcp,1,1.7833e-05,448607
RR,tcp,1,0.000117166,68279.2
RR,tcp,1,6.4417e-05,124191
RR,tcp,1,9.7959e-05,81666.8
RR,tcp,1,3.3375e-05,239700
RR,tcp,1,8.05e-05,99378.9
RR,tcp,1,4.9417e-05,161888
RR,tcp,1,6.35e-05,125984
RR,tcp,1,8.3416e-05,95904.9
RR,tcp,1,8.3958e-05,95285.7
RR,tcp,1,7.1333e-05,112150
RR,tcp,1,3.8375e-05,208469
RR,tcp,1,6.7083e-05,119255
RR,tcp,1,0.000101458,78850.4
RR,tcp,1,0.000101292,78979.6
RR,tcp,1,6.9458e-05,115178
RR,tcp,1,6.7833e-05,117937
RR,tcp,1,6.8792e-05,116293
RR,tcp,1,6.6042e-05,121135
RR,tcp,1,6.9833e-05,114559
RR,tcp,1,7.6333e-05,104804
RR,tcp,1,6.2208e-05,128601
RR,tcp,1,4.8167e-05,166089
RR,tcp,1,7.7458e-05,103282
RR,tcp,1,6e-05,133333
RR,tcp,1,3.9083e-05,204693
RR,tcp,1,9.975e-05,80200.5
RR,tcp,1,9.1333e-05,87591.6
RR,tcp,1,0.000109542,73031.3
RR,tcp,1,8.5833e-05,93204.2
RR,tcp,1,5.425e-05,147465
RR,tcp,1,6.225e-05,128514
RR,tcp,1,4.8375e-05,165375
RR,tcp,1,6.7834e-05,117935
RR,tcp,1,6.9959e-05,114353
RR,tcp,1,5.3916e-05,148379
RR,tcp,1,5.2792e-05,151538
RR,tcp,1,7.225e-05,110727
RR,tcp,1,7.4e-05,108108
RR,tcp,1,7.3208e-05,109278
RR,tcp,1,6.3209e-05,126564
RR,tcp,1,4.7625e-05,167979
RR,tcp,1,6.15e-05,130081
RR,tcp,1,8.4375e-05,94814.8
RR,tcp,1,6.7416e-05,118666
RR,tcp,1,7.1708e-05,111564
RR,tcp,1,4.6083e-05,173600
RR,tcp,1,6.275e-05,127490
RR,tcp,1,6.0417e-05,132413
RR,tcp,1,6.0208e-05,132873
RR,tcp,1,5.3666e-05,149070
RR,tcp,1,7.225e-05,110727
RR,tcp,1,4.75e-05,168421
RR,tcp,1,8.7916e-05,90996
RR,tcp,1,7.3625e-05,108659
RR,tcp,1,6.8667e-05,116504
RR,tcp,1,7.05e-05,113475
RR,tcp,1,9.0791e-05,88114.5
RR,tcp,1,4.2708e-05,187319
RR,tcp,1,7.6209e-05,104974
RR,tcp,1,7.6708e-05,104292
RR,tcp,1,7.0709e-05,113140
RR,tcp,1,8.9084e-05,89802.9
RR,tcp,1,6.4333e-05,124353
RR,tcp,1,7.8084e-05,102454
RR,tcp,1,7.1625e-05,111693
RR,tcp,1,6.55e-05,122137
RR,tcp,1,0.000118083,67749
RR,tcp,1,0.000119041,67203.7
RR,tcp,1,1.425e-05,561404
RR,tcp,1,6.425e-05,124514
RR,tcp,1,6.7083e-05,119255
RR,tcp,1,0.000115958,68990.5
