Policy,Protocol,MessageSizeKB,TransferTimeSeconds,ThroughputKbps
FCFS,tcp,1,7.9125e-05,101106
FCFS,tcp,1,6.4667e-05,123711
FCFS,tcp,1,9.5333e-05,83916.4
FCFS,tcp,1,6.9584e-05,114969
FCFS,tcp,1,7.2458e-05,110409
FCFS,tcp,1,7.9833e-05,100209
FCFS,tcp,1,7.4292e-05,107683
FCFS,tcp,1,6.825e-05,117216
FCFS,tcp,1,6.9667e-05,114832
FCFS,tcp,1,7.3875e-05,108291
FCFS,tcp,1,6.85e-05,116788
FCFS,tcp,1,7.6792e-05,104178
FCFS,tcp,1,9.1042e-05,87871.5
FCFS,tcp,1,7.0875e-05,112875
FCFS,tcp,1,7.1125e-05,112478
FCFS,tcp,1,5.5958e-05,142964
FCFS,tcp,1,6.5375e-05,122371
FCFS,tcp,1,0.000101708,78656.5
FCFS,tcp,1,6.3042e-05,126900
FCFS,tcp,1,1.6875e-05,474074
FCFS,tcp,1,8.5417e-05,93658.2
FCFS,tcp,1,5.3791e-05,148724
FCFS,tcp,1,7.4708e-05,107084
FCFS,tcp,1,5.1625e-05,154964
FCFS,tcp,1,5.8292e-05,137240
FCFS,tcp,1,7.6875e-05,104065
FCFS,tcp,1,7.4542e-05,107322
FCFS,tcp,1,4.15e-05,192771
FCFS,tcp,1,6.8292e-05,117144
FCFS,tcp,1,6.55e-05,122137
FCFS,tcp,1,6.8542e-05,116717
FCFS,tcp,1,7.1167e-05,112412
FCFS,tcp,1,8.15e-05,98159.5
FCFS,tcp,1,7.2667e-05,110091
FCFS,tcp,1,7.0542e-05,113408
FCFS,tcp,1,6.9e-05,115942
FCFS,tcp,1,6.0125e-05,133056
FCFS,tcp,1,5.9375e-05,134737
FCFS,tcp,1,4.6709e-05,171273
FCFS,tcp,1,9.6542e-05,82865.5
FCFS,tcp,1,0.000100042,79966.4
FCFS,tcp,1,5.1334e-05,155842
FCFS,tcp,1,6.2167e-05,128686
FCFS,tcp,1,7.6166e-05,105034
FCFS,tcp,1,8.3417e-05,95903.7
FCFS,tcp,1,4.6375e-05,172507
FCFS,tcp,1,8.5334e-05,93749.3
FCFS,tcp,1,4.7292e-05,169162
FCFS,tcp,1,6.2875e-05,127237
FCFS,tcp,1,7.1375e-05,112084
FCFS,tcp,1,7.1291e-05,112216
FCFS,tcp,1,7.4666e-05,107144
FCFS,tcp,1,8.175e-05,97859.3
FCFS,tcp,1,7.6833e-05,104122
FCFS,tcp,1,8.9541e-05,89344.5
FCFS,tcp,1,8.1208e-05,98512.5
FCFS,tcp,1,6.2833e-05,127322
FCFS,tcp,1,7.8291e-05,102183
FCFS,tcp,1,0.000152417,52487.6
FCFS,tcp,1,7.5875e-05,105437
FCFS,tcp,1,9.0375e-05,88520.1
FCFS,tcp,1,5.0625e-05,158025
FCFS,tcp,1,6.4459e-05,124110
FCFS,tcp,1,0.00010275,77858.9
FCFS,tcp,1,7.1958e-05,111176
FCFS,tcp,1,4.5458e-05,175987
FCFS,tcp,1,7.9333e-05,100841
FCFS,tcp,1,7.325e-05,109215
FCFS,tcp,1,6.9291e-05,115455
FCFS,tcp,1,7.0792e-05,113007
FCFS,tcp,1,6.3125e-05,126733
FCFS,tcp,1,6.2834e-05,127320
FCFS,tcp,1,7.5416e-05,106078
FCFS,tcp,1,6.8667e-05,116504
FCFS,tcp,1,9.3625e-05,85447.3
FCFS,tcp,1,6.3708e-05,125573
FCFS,tcp,1,8.975e-05,89136.5
FCFS,tcp,1,4.7917e-05,166955
FCFS,tcp,1,7.4542e-05,107322
FCFS,tcp,1,4.775e-05,167539
FCFS,tcp,1,7.3875e-05,108291
FCFS,tcp,1,4.1041e-05,194927
FCFS,tcp,1,8.4625e-05,94534.7
FCFS,tcp,1,6.8375e-05,117002
FCFS,tcp,1,7.475e-05,107023
FCFS,tcp,1,5.7291e-05,139638
FCFS,tcp,1,9.3625e-05,85447.3
FCFS,tcp,1,6.4e-05,125000
